Rank,Coin,Symbol,Market Cap,Price
1,Bitcoin,BTC,"
$160,572,147,215
",$9037.88
2,Ethereum,ETH,"
$28,065,435,506
",$263.41
3,XRP,XRP,"
$18,016,980,569
",$0.423910
4,Litecoin,LTC,"
$8,293,434,109
",$133.16
5,Bitcoin Cash,BCH,"
$7,286,527,140
",$408.32
6,EOS,EOS,"
$6,190,056,675
",$6.73
7,Binance Coin,BNB,"
$4,822,921,766
",$34.16
8,Bitcoin SV,BSV,"
$3,928,107,597
",$220.15
9,Tether,USDT,"
$3,540,637,968
",$1.00
10,Stellar,XLM,"
$2,404,266,990
",$0.123874
11,Cardano,ADA,"
$2,310,552,179
",$0.089117
12,TRON,TRX,"
$2,178,281,825
",$0.032667
13,Monero,XMR,"
$1,637,537,364
",$96.05
14,Dash,DASH,"
$1,397,756,755
",$157.55
15,Cosmos,ATOM,"
$1,245,052,519
",$6.53
16,IOTA,MIOTA,"
$1,195,496,105
",$0.430107
17,NEO,NEO,"
$956,920,985
",$13.57
18,Ethereum Classic,ETC,"
$934,610,688
",$8.40
19,Tezos,XTZ,"
$809,647,591
",$1.23
20,NEM,XEM,"
$771,327,487
",$0.085703
21,Zcash,ZEC,"
$741,041,973
",$109.24
22,Maker,MKR,"
$720,891,030
",$720.89
23,Ontology,ONT,"
$715,219,840
",$1.45
24,Chainlink,LINK,"
$631,650,417
",$1.80
25,Bitcoin Gold,BTG,"
$467,694,376
",$26.70
26,Crypto.com Chain,CRO,"
$461,447,067
",$0.065135
27,Basic Attenti...,BAT,"
$432,417,739
",$0.340771
28,VeChain,VET,"
$406,456,641
",$0.007330
29,Dogecoin,DOGE,"
$375,404,658
",$0.003129
30,USD Coin,USDC,"
$342,136,149
",$1.00
31,Qtum,QTUM,"
$340,929,555
",$3.56
32,OmiseGO,OMG,"
$285,669,247
",$2.04
33,Decred,DCR,"
$285,151,972
",$28.65
34,BitTorrent,BTT,"
$279,525,884
",$0.001318
35,Lisk,LSK,"
$238,735,033
",$2.03
36,Bitcoin Diamond,BCD,"
$237,611,799
",$1.27
37,Waves,WAVES,"
$236,729,119
",$2.37
38,TrueUSD,TUSD,"
$232,494,536
",$1.00
39,Holo,HOT,"
$231,634,693
",$0.001739
40,Ravencoin,RVN,"
$231,212,688
",$0.061021
41,Pundi X,NPXS,"
$202,261,767
",$0.000854
42,Nano,NANO,"
$201,765,459
",$1.51
43,0x,ZRX,"
$201,233,120
",$0.336654
44,Augur,REP,"
$197,525,243
",$17.96
45,Zilliqa,ZIL,"
$197,362,094
",$0.022718
46,Bytom,BTM,"
$190,376,024
",$0.189901
47,Aurora,AOA,"
$187,435,910
",$0.028650
48,Bytecoin,BCN,"
$183,390,584
",$0.000996
49,Komodo,KMD,"
$175,899,123
",$1.54
50,Huobi Token,HT,"
$171,930,591
",$3.44
51,ICON,ICX,"
$169,000,390
",$0.356988
52,Paxos Standar...,PAX,"
$168,260,428
",$1.00
53,BitShares,BTS,"
$167,588,691
",$0.061442
54,DigiByte,DGB,"
$155,025,680
",$0.012996
55,MonaCoin,MONA,"
$146,225,760
",$2.22
56,GXChain,GXC,"
$145,188,397
",$2.42
57,Qubitica,QBIT,"
$144,702,575
",$51.52
58,IOST,IOST,"
$144,668,614
",$0.012042
59,KuCoin Shares,KCS,"
$141,150,560
",$1.57
60,Verge,XVG,"
$140,941,184
",$0.008935
61,Metaverse ETP,ETP,"
$140,707,559
",$1.96
62,Aeternity,AE,"
$137,829,268
",$0.510253
63,Dent,DENT,"
$131,243,746
",$0.001822
64,Steem,STEEM,"
$129,445,933
",$0.408054
65,Siacoin,SC,"
$127,355,681
",$0.003095
66,HyperCash,HC,"
$123,412,211
",$2.84
67,SOLVE,SOLVE,"
$121,585,729
",$0.373970
68,ThoreCoin,THR,"
$119,402,867
",$1377.42
69,THETA,THETA,"
$114,165,500
",$0.131149
70,Ardor,ARDR,"
$109,980,648
",$0.110091
71,Enjin Coin,ENJ,"
$108,435,613
",$0.140542
72,HedgeTrade,HEDG,"
$107,973,588
",$0.375473
73,aelf,ELF,"
$99,831,171
",$0.201545
74,Crypto.com,MCO,"
$97,433,701
",$6.17
75,Insight Chain,INB,"
$97,118,379
",$0.277558
76,Status,SNT,"
$96,251,861
",$0.027734
77,Zcoin,XZC,"
$95,891,140
",$12.39
78,Stratis,STRAT,"
$95,526,894
",$0.961301
79,Mixin,XIN,"
$95,395,041
",$211.88
80,ABBC Coin,ABBC,"
$91,515,856
",$0.181191
81,Golem,GNT,"
$90,598,348
",$0.094019
82,WAX,WAX,"
$89,071,395
",$0.094473
83,VestChain,VEST,"
$87,606,643
",$0.012377
84,Dai,DAI,"
$83,712,174
",$0.984107
85,TrueChain,TRUE,"
$80,817,160
",$1.02
86,Nash Exchange,NEX,"
$79,498,827
",$2.20
87,Waltonchain,WTC,"
$75,447,811
",$1.81
88,Nebulas,NAS,"
$74,107,930
",$1.52
89,Grin,GRIN,"
$72,512,271
",$5.46
90,Maximine Coin,MXM,"
$72,447,604
",$0.043934
91,ODEM,ODE,"
$71,809,956
",$0.312314
92,Egretia,EGT,"
$71,269,384
",$0.017129
93,Project Pai,PAI,"
$71,197,899
",$0.049007
94,CRYPTO20,C20,"
$70,854,890
",$1.75
95,MaidSafeCoin,MAID,"
$70,733,629
",$0.156299
96,Energi,NRG,"
$70,557,616
",$4.11
97,Horizen,ZEN,"
$70,250,475
",$10.49
98,NULS,NULS,"
$69,411,904
",$0.977681
99,Santiment Net...,SAN,"
$64,374,081
",$1.03
100,Loom Network,LOOM,"
$62,840,487
",$0.079138
101,ReddCoin,RDD,"
$62,474,318
",$0.002169
102,Clipper Coin,CCCX,"
$62,093,648
",$0.016446
103,Ark,ARK,"
$61,853,136
",$0.547599
104,Loopring,LRC,"
$61,766,019
",$0.065383
105,Decentraland,MANA,"
$58,914,781
",$0.056102
106,Factom,FCT,"
$57,710,028
",$5.99
107,Thunder Token,TT,"
$57,671,750
",$0.019874
108,Elastos,ELA,"
$57,057,165
",$3.66
109,Populous,PPT,"
$56,850,136
",$1.07
110,DigixDAO,DGD,"
$56,652,807
",$28.33
111,Orbs,ORBS,"
$56,079,918
",$0.034298
112,Nexo,NEXO,"
$55,733,965
",$0.099525
113,Revain,R,"
$54,684,668
",$0.112880
114,Ignis,IGNIS,"
$54,209,300
",$0.071221
115,WaykiChain,WICC,"
$54,190,624
",$0.286723
116,Electroneum,ETN,"
$53,728,119
",$0.005580
117,Celer Network,CELR,"
$52,891,114
",$0.019275
118,NEXT,NET,"
$52,691,345
",$1.05
119,Fusion,FSN,"
$52,427,995
",$1.60
120,Aion,AION,"
$50,539,010
",$0.158707
121,IoT Chain,ITC,"
$49,838,547
",$0.650243
122,Fantom,FTM,"
$49,809,320
",$0.027463
123,QASH,QASH,"
$48,562,469
",$0.138750
124,Lambda,LAMB,"
$48,557,360
",$0.097115
125,Power Ledger,POWR,"
$48,326,529
 ",$0.118241
126,Matic Network,MATIC,"
$48,140,226
",$0.022286
127,EDUCare,EKT,"
$47,838,179
",$0.069027
128,IPChain,IPC,"
$47,082,067
",$0.606709
129,Theta Fuel,TFUEL,"
$45,803,463
",$0.011933
130,Digitex Futures,DGTX,"
$45,392,057
",$0.060377
131,Ether Zero,ETZ,"
$45,204,716
",$0.277624
132,Bancor,BNT,"
$45,141,633
",$0.738504
133,Wanchain,WAN,"
$44,305,183
",$0.417373
134,Japan Content...,JCT,"
$43,933,213
",$0.149866
135,QuarkChain,QKC,"
$43,898,045
",$0.020768
136,PIVX,PIVX,"
$43,679,878
",$0.769267
137,Kyber Network,KNC,"
$43,678,269
",$0.262562
138,Buggyra Coin ...,BCZERO,"
$42,795,722
",$0.021283
139,Newton,NEW,"
$42,289,351
",$0.003539
140,Enigma,ENG,"
$42,245,472
",$0.564506
141,MOAC,MOAC,"
$41,120,181
",$0.658309
142,Metadium,META,"
$41,086,231
",$0.032990
143,Polymath,POLY,"
$40,837,376
",$0.096107
144,Quant,QNT,"
$40,752,151
",$4.17
145,Arcblock,ABT,"
$40,633,640
",$0.412297
146,CyberMiles,CMT,"
$39,360,855
",$0.049201
147,FunFair,FUN,"
$39,051,244
",$0.005963
148,Storj,STORJ,"
$38,278,196
",$0.281898
149,Bread,BRD,"
$37,948,912
",$0.427671
150,Ecoreal Estate,ECOREAL,"
$37,934,651
",$0.181297
